341	候	124865	67.4824860743
342	带	124619	67.546887321
343	导	124463	67.6112079492
344	争	124420	67.6755063556
345	运	123903	67.7395375842
346	笑	122902	67.8030515108
347	飞	122290	67.8662491649
348	风	121803	67.9291951447
349	步	121267	67.9918641276
350	改	121023	68.0544070149
351	收	120897	68.1168847874
352	根	120778	68.1793010624
353	干	120564	68.2416067453
354	造	120496	68.3038772869
355	言	120308	68.3660506729
356	联	120301	68.4282204414
357	持	119990	68.4902294897
358	组	119734	68.552106241
359	每	119594	68.6139106424
360	济	119161	68.6754912758
361	车	118824	68.7368977527
362	亲	118451	68.7981114687
363	极	117736	68.8589556833
364	林	117675	68.919768374
365	服	116961	68.9802120801
366	快	116923	69.0406361484
367	办	116904	69.1010503978
368	议	116810	69.1614160694
369	往	116539	69.2216416922
370	元	116488	69.281840959
371	英	116193	69.3418877741
372	士	115704	69.4016818814
373	证	115610	69.4614274108
374	近	115441	69.5210856035
375	失	115346	69.5806947016
376	转	115087	69.6401699524
377	夫	114784	69.6994886173
378	令	114570	69.7586966902
379	准	113877	69.817546631
380	布	113652	69.8762802951
381	始	112987	69.9346702971
382	怎	112294	69.992702167
383	呢	112185	70.0506777074
384	存	110970	70.1080253538
385	未	110491	70.1651254601
386	远	110455	70.2222069621
387	叫	110131	70.2791210258
388	台	109362	70.3356376817
389	单	109359	70.3921527872
390	影	108862	70.4484110506
391	具	108811	70.5046429579
392	罗	108376	70.5606500636
393	字	108218	70.6165755173
394	爱	108167	70.672474615
395	击	107513	70.7280357352
396	流	107397	70.7835369083
397	备	107114	70.8388918312
398	兵	106982	70.8941785385
399	连	106814	70.9493784258
400	调	106379	71.0043535117
401	深	105924	71.0590934603
402	商	105406	71.1135657142
403	算	105293	71.1679795714
404	质	104560	71.222014625
405	团	104151	71.2758383136
406	集	104019	71.3295937865
407	百	103938	71.3833073998
408	需	103832	71.436966234
409	价	103634	71.4905227446
410	花	103367	71.5439412736
411	党	103165	71.597255412
412	华	103158	71.650565933
413	城	102833	71.7037084987
414	石	102149	71.7564975834
415	级	102018	71.8092189693
416	整	100910	71.8613677572
417	府	100771	71.913444712
418	离	100744	71.9655077136
419	况	100680	72.017537641
420	亚	100251	72.0693458675
421	请	100226	72.1211411744
422	技	99790	72.172711163
423	际	99412	72.2240858068
424	约	99148	72.2753240194
425	示	98963	72.3264666267
426	复	98822	72.3775363672
427	病	98692	72.4285389257
428	息	98447	72.4794148719
429	究	98377	72.5302546431
430	线	98261	72.5810344672
431	似	98057	72.6317088672
432	官	97897	72.6823005815
433	火	97760	72.7328214962
434	断	97235	72.7830710988
435	精	97135	72.8332690229
436	满	96954	72.8833734088
437	支	96814	72.9334054448
438	视	96326	72.9831852897
439	消	96263	73.0329325771
440	越	95657	73.0823666928
441	器	95444	73.1316907332
442	容	95407	73.1809956525
443	照	95020	73.230100576
444	须	94903	73.2791450356
445	九	94580	73.3280225737
446	增	93869	73.3765326775
447	研	93761	73.4249869685
448	写	93710	73.4734149035
449	称	93638	73.5218056299
450	企	93453	73.5701007511
