id,frequency,frequency_percent,characters
1709,10289,95.8383949423,池
1710,10279,95.8437069767,疼
1711,10266,95.8490122929,卢
1712,10263,95.8543160587,仗
1713,10217,95.8595960524,冠
1714,10200,95.8648672608,粒
1715,10179,95.8701276167,遥
1716,10156,95.8753760865,吕
1717,10151,95.8806219724,玄
1718,10137,95.8858606233,尘
1719,10128,95.8910946232,冯
1720,10100,95.896314153,抚
1721,10088,95.9015274815,浅
1722,10084,95.9067387428,敦
1723,10064,95.9119396684,纠
1724,10064,95.9171405939,钻
1725,10038,95.9223280831,晶
1726,10036,95.9275145387,岂
1727,10028,95.9326968601,峡
1728,10027,95.9378786646,苍
1729,10027,95.9430604692,喷
1730,9999,95.9482278037,耗
1731,9999,95.9533951383,凌
1732,9978,95.9585516204,敲
1733,9971,95.9637044849,菌
1734,9960,95.9688516649,赔
1735,9949,95.9739931602,涂
1736,9943,95.9791315548,粹
1737,9917,95.984256513,扁
1738,9884,95.9893644172,亏
1739,9875,95.9944676704,寂
1740,9832,95.9995487019,煤
1741,9788,96.0046069948,熊
1742,9787,96.0096647709,恭
1743,9783,96.0147204799,湿
1744,9768,96.0197684371,循
1745,9762,96.0248132935,暖
1746,9757,96.0298555661,糖
1747,9723,96.034880268,赋
1748,9719,96.0399029027,抑
1749,9713,96.0449224367,秩
1750,9697,96.0499337022,帽
1751,9693,96.0549429005,哀
1752,9693,96.0599520988,宿
1753,9656,96.064942176,踏
1754,9635,96.0699214008,烂
1755,9609,96.0748871892,袁
1756,9585,96.0798405747,侯
1757,9584,96.0847934434,抖
1758,9574,96.0897411443,夹
1759,9557,96.0946800598,昆
1760,9551,96.0996158746,肝
1761,9542,96.1045470384,擦
1762,9535,96.1094745847,猪
1763,9528,96.1143985134,炼
1764,9483,96.1192991869,恒
1765,9479,96.1241977931,慎
1766,9478,96.1290958826,搬
1767,9466,96.1339877707,纽
1768,9463,96.1388781085,纹
1769,9447,96.1437601776,玻
1770,9441,96.1486391461,渔
1771,9433,96.1535139803,磁
1772,9416,96.1583800291,铜
1773,9415,96.1632455611,齿
1774,9404,96.1681054085,跨
1775,9401,96.1729637056,押
1776,9400,96.1778214859,怖
1777,9366,96.1826616954,漠
1778,9364,96.1875008714,疲
1779,9361,96.1923384971,叛
1780,9335,96.1971626863,遣
1781,9319,96.201978607,兹
1782,9316,96.2067929773,祭
1783,9292,96.2115949448,醉
1784,9290,96.2163958787,拳
1785,9276,96.2211895776,弥
1786,9264,96.2259770751,斜
1787,9248,96.230756304,档
1788,9234,96.2355282979,稀
1789,9225,96.2402956408,捷
1790,9214,96.245057299,肤
1791,9202,96.2498127558,疫
1792,9202,96.2545682126,肿
1793,9179,96.2593117834,豆
1794,9169,96.2640501863,削
1795,9163,96.2687854885,岗
1796,9157,96.27351769,晃
1797,9142,96.2782421397,吞
1798,9134,96.2829624551,宏
1799,9114,96.2876724348,癌
1800,9102,96.2923762131,肚
1801,9100,96.2970789578,隶
1802,9091,96.3017770515,履
1803,9089,96.3064741116,涨
1804,9060,96.3111561849,耀
1805,9054,96.3158351575,扭
1806,9049,96.3205115462,坛
1807,9047,96.3251869013,拨
1808,9047,96.3298622564,沃
1809,9039,96.3345334772,绘
1810,9028,96.3391990134,伐
1811,9026,96.3438635161,堪
1812,8976,96.3485021794,仆
1813,8931,96.3531175875,郭
1814,8926,96.3577304116,牺
1815,8910,96.3623349671,歼
1816,8890,96.366929187,墓
1817,8857,96.3715063529,雇
1818,8854,96.3760819685,廉
1819,8845,96.380652933,契
1820,8842,96.3852223472,拼
1821,8839,96.389790211,惩
1822,8838,96.394357558,捉
1823,8795,96.3989026833,覆
1824,8773,96.4034364392,刷
1825,8752,96.4079593427,劫
1826,8748,96.4124801791,嫌
1827,8740,96.4169968812,瓜
1828,8733,96.4215099658,歇
1829,8713,96.4260127146,雕
1830,8708,96.4305128796,闷
1831,8701,96.435009427,乳
1832,8695,96.4395028738,串
1833,8662,96.4439792666,娃
1834,8659,96.4484541091,缴
1835,8657,96.452927918,唤
1836,8657,96.4574017269,赢
1837,8650,96.4618719183,莲
1838,8639,96.4663364251,霸
1839,8639,96.4708009319,桃
1840,8634,96.4752628547,妥
1841,8632,96.479723744,瘦
1842,8626,96.4841815326,搭
1843,8594,96.488622784,赴
1844,8577,96.4930552501,岳
1845,8576,96.4974871995,嘉
1846,8575,96.501918632,舱
1847,8543,96.5063335274,俊
1848,8541,96.5107473892,址
1849,8531,96.5151560832,庞
1850,8525,96.5195616765,耕
1851,8522,96.5239657194,锐
1852,8512,96.5283645945,缝
1853,8485,96.5327495163,悔
1854,8484,96.5371339214,邀
1855,8475,96.5415136754,玲
1856,8469,96.5458903287,惟
1857,8464,96.5502643981,斥
1858,8464,96.5546384675,宅
1859,8460,96.5590104697,添
1860,8449,96.5633767873,挖
1861,8433,96.5677348364,呵
1862,8410,96.5720809994,讼
1863,8401,96.5764225113,氧
1864,8387,96.5807567882,浩
1865,8366,96.5850802126,羽
1866,8365,96.5894031203,斤
1867,8345,96.5937156922,酷
1868,8343,96.5980272306,掠
1869,8337,96.6023356683,妖
1870,8336,96.6066435892,祸
1871,8320,96.6109432415,侍
1872,8313,96.6152392763,乙
1873,8311,96.6195342776,妨
1874,8304,96.6238256613,贪
1875,8297,96.6281134276,挣
1876,8294,96.6323996435,汪
1877,8292,96.6366848258,尿
1878,8289,96.6409684578,莉
1879,8282,96.6452484723,悬
1880,8279,96.6495269364,唇
1881,8279,96.6538054006,翰
1882,8275,96.6580817976,仓
1883,8273,96.662357161,轨
1884,8270,96.666630974,枚
1885,8266,96.67090272,盐
1886,8259,96.6751708484,览
1887,8256,96.6794374265,傅
1888,8249,96.683700387,帅
1889,8220,96.6879483608,庙
1890,8218,96.6921953011,芬
1891,8208,96.6964370735,屏
1892,8200,96.7006747116,寺
1893,8184,96.7049040811,胖
1894,8176,96.7091293164,璃
1895,8144,96.7133380145,愚
1896,8104,96.7175260412,滴
1897,8101,96.7217125176,疏
1898,8097,96.7258969269,萧
1899,8092,96.7300787522,姿
1900,8080,96.7342543761,颤
1901,8067,96.7384232817,丑
1902,8067,96.7425921874,劣
1903,8061,96.7467579924,柯
1904,8056,96.7509212134,寸
1905,8045,96.7550787498,扔
1906,8041,96.7592342191,盯
1907,8029,96.763383487,辱
1908,8025,96.7675306877,匹
1909,8024,96.7716773716,俱
1910,8023,96.7758235387,辨
1911,7992,96.7799536855,饿
1912,7989,96.784082282,蜂
1913,7980,96.7882062273,哦
1914,7975,96.7923275888,腔
1915,7968,96.7964453327,郁
1916,7962,96.800559976,溃
1917,7960,96.8046735856,谨
1918,7960,96.8087871953,糟
1919,7952,96.8128966707,葛
1920,7946,96.8170030454,苗
1921,7939,96.8211058026,肠
1922,7938,96.825208043,忌
1923,7935,96.829308733,溜
1924,7931,96.8334073559,鸿
1925,7902,96.837490992,爵
1926,7895,96.8415710107,鹏
1927,7890,96.8456484454,鹰
1928,7888,96.8497248465,笼
1929,7886,96.8538002141,丘
1930,7877,96.8578709306,桂
1931,7874,96.8619400968,滋
1932,7865,96.8660046119,聊
1933,7851,96.8700618919,挡
1934,7832,96.8741093531,纲
1935,7830,96.8781557807,肌
1936,7823,96.8821985908,茨
1937,7813,96.8862362331,壳
1938,7805,96.8902697411,痕
1939,7773,96.8942867119,碗
1940,7772,96.898303166,穴
1941,7731,96.9022984319,膀
1942,7714,96.9062849124,卓
1943,7713,96.9102708761,贤
1944,7696,96.9142480545,卧
1945,7694,96.9182241994,膜
1946,7686,96.9221962099,毅
1947,7682,96.9261661533,锦
1948,7682,96.9301360967,欠
1949,7677,96.9341034562,哩
1950,7672,96.9380682317,函
1951,7659,96.9420262891,茫
1952,7637,96.9459729772,昂
1953,7630,96.9499160477,薛
1954,7609,96.9538482658,皱
1955,7594,96.9577727321,夸
1956,7590,96.9616951313,豫
1957,7533,96.9655880737,胃
1958,7511,96.9694696469,舌
1959,7504,96.9733476025,剥
1960,7503,96.9772250414,傲
1961,7497,96.9810993795,拾
1962,7456,96.9849525295,窝
1963,7454,96.9888046459,睁
1964,7449,96.9926541784,携
1965,7436,96.9964969926,陵
1966,7419,97.0003310216,哼
1967,7416,97.0041635001,棉
1968,7405,97.007990294,晴
1969,7404,97.0118165712,铃
1970,7401,97.0156412979,填
1971,7399,97.0194649912,饲
1972,7395,97.0232866172,渴
1973,7395,97.0271082433,吻
1974,7372,97.0309179833,扮
1975,7339,97.0347106694,逆
1976,7336,97.0385018052,脆
1977,7320,97.0422846724,喘
1978,7309,97.0460618549,罩
1979,7301,97.0498349032,卜
1980,7295,97.0536048507,炉
1981,7276,97.0573649794,柴
1982,7259,97.0611163227,愉
1983,7256,97.0648661156,绳
1984,7256,97.0686159085,胎
1985,7213,97.0723434797,蓄
1986,7195,97.0760617488,眠
1987,7194,97.079779501,竭
1988,7184,97.0834920854,喂
1989,7167,97.0871958845,傻
1990,7165,97.09089865,慕
1991,7136,97.0945864287,浑
1992,7132,97.0982721403,奸
1993,7125,97.1019542344,扇
1994,7101,97.1056239256,柜
1995,7094,97.1092899993,悦
1996,7091,97.1129545227,拦
1997,7085,97.1166159454,诞
1998,7059,97.1202639317,饱
1999,7057,97.1239108844,乾
2000,7046,97.1275521524,泡
2001,7045,97.1311929037,贼
2002,7041,97.1348315878,亭
2003,7025,97.1384620034,夕
2004,7016,97.1420877679,爹
2005,7011,97.1457109485,酬
2006,7004,97.1493305116,儒
2007,6998,97.1529469739,姻
2008,6971,97.1565494831,卵
2009,6968,97.1601504419,氛
2010,6955,97.1637446826,泄
2011,6944,97.1673332385,杆
2012,6930,97.1709145595,挨
2013,6920,97.1744907126,僧
2014,6919,97.178066349,蜜
2015,6916,97.181640435,吟
2016,6909,97.1852109035,猩
2017,6904,97.188778788,遂
2018,6901,97.1923451223,狭
2019,6899,97.1959104229,肖
2020,6894,97.1994731396,甜
2021,6885,97.2030312053,霞
2022,6879,97.2065861702,驳
2023,6871,97.2101370009,裕
2024,6868,97.2136862812,顽
2025,6858,97.2172303936,於
2026,6845,97.2207677879,摘
2027,6834,97.2242994975,矮
2028,6829,97.2278286232,秒
2029,6825,97.2313556817,卿
2030,6821,97.2348806731,畜
2031,6818,97.2384041142,咽
2032,6790,97.2419130852,披
2033,6782,97.245417922,辅
2034,6780,97.2489217252,勾
2035,6780,97.2524255284,盆
2036,6779,97.2559288149,疆
2037,6759,97.2594217656,赌
2038,6744,97.2629069645,塑
2039,6722,97.2663807942,畏
2040,6709,97.2698479057,吵
2041,6709,97.2733150172,囊
2042,6707,97.2767810951,嗯
2043,6695,97.2802409715,泊
2044,6692,97.2836992977,肺
2045,6688,97.2871555566,骤
2046,6675,97.2906050974,缠
2047,6651,97.2940422353,冈
2048,6651,97.2974793733,羞
2049,6644,97.3009128937,瞪
2050,6637,97.3043427966,吊
2051,6627,97.3077675317,贾
2052,6627,97.3111922668,漏
2053,6622,97.314614418,斑
2054,6611,97.3180308845,涛
2055,6604,97.3214437335,悠
2056,6599,97.3248539986,鹿
2057,6594,97.3282616798,俘
2058,6586,97.3316652267,锡
2059,6572,97.3350615386,卑
2060,6558,97.3384506155,葬
2061,6555,97.3418381421,铭
2062,6550,97.3452230847,滩
2063,6539,97.3486023427,嫁
2064,6538,97.3519810839,催
2065,6536,97.3553587916,璇
2066,6524,97.3587302978,翅
2067,6506,97.3620925019,盒
2068,6503,97.3654531556,蛮
2069,6490,97.3688070911,矣
2070,6477,97.3721543084,潘
2071,6451,97.3754880893,歧
2072,6431,97.3788115345,赐
2073,6416,97.382127228,鲍
2074,6416,97.3854429214,锅
2075,6413,97.3887570645,廊
2076,6412,97.3920706907,拆
2077,6403,97.395379666,灌
2078,6398,97.3986860573,勉
2079,6395,97.4019908982,盲
2080,6390,97.4052931552,宰
2081,6378,97.4085892108,佐
2082,6331,97.4118609775,啥
2083,6327,97.415130677,胀
2084,6325,97.418399343,扯
2085,6308,97.4216592236,禧
2086,6300,97.42491497,辽
2087,6299,97.4281701995,抹
2088,6296,97.4314238788,筒
2089,6294,97.4346765244,棋
2090,6282,97.4379229686,裤
2091,6269,97.4411626946,唉
2092,6261,97.4443982863,朴
2093,6257,97.4476318109,咐
2094,6256,97.4508648187,孕
2095,6249,97.454094209,誓
2096,6233,97.4573153308,喉
2097,6228,97.4605338686,妄
2098,6224,97.4637503393,拘
2099,6223,97.4669662932,链
2100,6199,97.4701698442,驰
2101,6182,97.4733646099,栏
2102,6182,97.4765593756,逝
2103,6174,97.4797500071,窃
2104,6172,97.4829396049,艳
2105,6166,97.486126102,臭
2106,6166,97.4893125992,纤
2107,6165,97.4924985795,玑
2108,6159,97.4956814592,棵
2109,6154,97.4988617549,趁
2110,6142,97.5020358492,匠
2111,6142,97.5052099435,盈
2112,6137,97.5083814539,翁
2113,6135,97.5115519307,愁
2114,6119,97.5147141389,瞬
2115,6114,97.5178737632,婴
2116,6112,97.521032354,孝
2117,6104,97.5241868104,颈
2118,6072,97.5273247298,倘
2119,6045,97.5304486959,浙
2120,6024,97.5335618096,谅
2121,6016,97.5366707889,蔽
2122,6012,97.5397777012,畅
2123,6004,97.5428804791,赠
2124,6000,97.5459811899,妮
2125,5990,97.5490767329,莎
2126,5988,97.5521712423,尉
2127,5984,97.5552636845,冻
2128,5955,97.55834114,跪
2129,5954,97.5614180787,闯
2130,5943,97.5644893327,葡
2131,5938,97.5675580029,後
2132,5932,97.5706235723,厨
2133,5932,97.5736891417,鸭
2134,5921,97.5767490265,颠
2135,5914,97.5798052938,遮
2136,5902,97.5828553596,谊
2137,5901,97.5859049087,圳
2138,5891,97.5889492899,吁
2139,5882,97.5919890201,仑
2140,5876,97.5950256495,辟
2141,5875,97.5980617622,瘤
2142,5863,97.6010916735,嫂
2143,5863,97.6041215847,陀
2144,5853,97.6071463281,框
2145,5849,97.6101690043,谭
2146,5845,97.6131896135,亨
2147,5840,97.6162076386,钦
2148,5835,97.6192230799,庸
2149,5833,97.6222374876,歉
2150,5832,97.6252513785,芝
2151,5814,97.6282559673,吼
2152,5805,97.631255905,甫
2153,5802,97.6342542923,衫
2154,5798,97.6372506125,摊
2155,5798,97.6402469328,宴
2156,5788,97.6432380851,嘱
2157,5781,97.64622562,衷
2158,5772,97.6492085038,娇
2159,5769,97.6521898372,陕
2160,5766,97.6551696203,矩
2161,5766,97.6581494034,浦
2162,5760,97.6611260858,讶
2163,5758,97.6641017346,耸
2164,5752,97.6670742827,裸
2165,5751,97.670046314,碧
2166,5743,97.673014211,摧
2167,5741,97.6759810745,薪
2168,5737,97.6789458708,淋
2169,5735,97.6819096335,耻
2170,5721,97.6848661613,胶
2171,5718,97.6878211387,屠
2172,5703,97.6907683643,鹅
2173,5689,97.6937083549,饥
2174,5689,97.6966483456,盼
2175,5682,97.6995847187,脖
2176,5670,97.7025148904,虹
2177,5661,97.7054404111,翠
2178,5658,97.7083643814,崩
2179,5652,97.7112852509,账
2180,5646,97.7142030198,萍
2181,5632,97.7171135537,逢
2182,5630,97.720023054,赚
2183,5628,97.7229315207,撑
2184,5625,97.7258384371,翔
2185,5622,97.7287438031,倡
2186,5622,97.7316491692,绵
2187,5582,97.7345338638,猴
2188,5582,97.7374185584,枯
2189,5576,97.7403001523,巫
2190,5569,97.7431781287,昭
2191,5561,97.7460519709,怔
2192,5551,97.7489206452,渊
2193,5544,97.7517857019,凑
2194,5543,97.7546502419,溪
2195,5542,97.7575142652,蠢
2196,5540,97.7603772548,禅
2197,5532,97.7632361102,阐
2198,5529,97.7660934152,旺
2199,5519,97.7689455523,寓
2200,5514,97.7717951056,藤
2201,5511,97.7746431084,匪
2202,5511,97.7774911113,伞
2203,5509,97.7803380806,碑
2204,5500,97.7831803989,挪
2205,5495,97.7860201332,琼
2206,5492,97.7888583171,脂
2207,5481,97.7916908165,谎
2208,5479,97.7945222822,慨
2209,5477,97.7973527144,菩
2210,5463,97.8001759116,萄
2211,5456,97.8029954913,狮
2212,5436,97.8058047353,掘
2213,5433,97.8086124289,抄
2214,5429,97.8114180554,岭
2215,5420,97.8142190308,晕
2216,5418,97.8170189727,逮
2217,5418,97.8198189146,砍
2218,5416,97.8226178229,掏
2219,5414,97.8254156976,狄
2220,5412,97.8282125387,晰
2221,5409,97.8310078295,罕
2222,5389,97.8337927846,挽
2223,5386,97.8365761893,脾
2224,5363,97.839347708,舟
2225,5359,97.8421171596,痴
2226,5325,97.8448690404,蔡
2227,5324,97.8476204045,剪
2228,5316,97.8503676342,脊
2229,5315,97.8531143472,弓
2230,5307,97.8558569259,懒
2231,5299,97.8585953704,叉
2232,5282,97.8613250294,拐
2233,5282,97.8640546885,喃
2234,5278,97.8667822805,僚
2235,5273,97.8695072885,捐
2236,5272,97.8722317797,姊
2237,5268,97.8749542038,骚
2238,5256,97.8776704265,拓
2239,5251,97.8803840652,歪
2240,5231,97.8830873682,粘
2241,5229,97.8857896377,柄
2242,5223,97.8884888065,坑
2243,5220,97.8911864249,陌
2244,5219,97.8938835265,窄
2245,5207,97.8965744267,湘
2246,5204,97.8992637765,兆
2247,5199,97.9019505424,崖
2248,5196,97.904635758,骄
2249,5185,97.9073152889,刹
2250,5176,97.9099901688,鞭
2251,5174,97.9126640151,芒
2252,5170,97.9153357942,筋
2253,5148,97.9179962041,聘
2254,5140,97.9206524797,钩
2255,5140,97.9233087553,棍
2256,5138,97.9259639973,嚷
2257,5132,97.9286161386,腺
2258,5117,97.9312605281,弦
2259,5116,97.9339044009,焰
2260,5109,97.9365446561,耍
2261,5100,97.9391802603,俯
2262,5096,97.9418137974,厘
2263,5088,97.9444432001,愣
2264,5083,97.947070019,厦
2265,5081,97.9496958042,恳
2266,5079,97.9523205559,饶
2267,5059,97.9549349719,钉
2268,5049,97.9575442201,寡
2269,5036,97.96014675,憾
2270,5035,97.9627487632,摔
2271,5027,97.9653466421,叠
2272,5018,97.9679398699,惹
2273,5012,97.970529997,喻
2274,5009,97.9731185737,谱
2275,5008,97.9757066336,愧
2276,5002,97.9782915929,煌
2277,5000,97.9808755186,徽
2278,4998,97.9834584107,溶
2279,4980,97.9860320006,坠
2280,4969,97.988599906,煞
2281,4967,97.9911667777,巾
2282,4964,97.9937320991,滥
2283,4961,97.9962958702,洒
2284,4960,97.9988591245,堵
2285,4955,98.0014197948,瓷
2286,4931,98.0039680623,咒
2287,4928,98.0065147795,姨
2288,4917,98.009055812,棒
2289,4912,98.0115942605,郡
2290,4911,98.0141321923,浴
2291,4909,98.0166690906,媚
2292,4907,98.0192049552,稣
2293,4903,98.0217387527,淮
2294,4887,98.0242642817,哎
2295,4884,98.0267882603,屁
2296,4884,98.0293122389,漆
2297,4879,98.0318336336,淫
2298,4874,98.0343524443,巢
2299,4866,98.0368671208,吩
2300,4863,98.0393802469,撰
2301,4850,98.0418866548,啸
2302,4850,98.0443930627,滞
2303,4839,98.0468937859,玫
2304,4819,98.0493841735,硕
2305,4813,98.0518714604,钓
2306,4811,98.0543577136,蝶
2307,4809,98.0568429334,膝
2308,4806,98.0593266027,姚
2309,4798,98.0618061378,茂
2310,4797,98.0642851561,躯
2311,4795,98.0667631408,吏
2312,4793,98.069240092,猿
2313,4783,98.0717118753,寨
2314,4779,98.0741815914,恕
2315,4769,98.0766461397,渠
2316,4756,98.0791039698,戚
2317,4755,98.0815612831,辰
2318,4743,98.084012395,舶
2319,4742,98.0864629901,颁
2320,4730,98.0889073838,惶
2321,4718,98.0913455761,狐
2322,4713,98.0937811844,讽
2323,4712,98.096216276,笨
2324,4710,98.098650334,袍
2325,4709,98.1010838752,嘲
2326,4688,98.1035065639,啡
2327,4688,98.1059292526,泼
2328,4684,98.1083498742,衔
2329,4682,98.1107694622,倦
2330,4681,98.1131885334,涵
2331,4675,98.1156045039,雀
2332,4671,98.1180184072,旬
2333,4668,98.1204307603,僵
2334,4668,98.1228431133,撕
2335,4651,98.1252466809,肢
2336,4642,98.1276455975,垄
2337,4638,98.130042447,夷
2338,4638,98.1324392964,逸
2339,4637,98.1348356291,茅
2340,4633,98.1372298946,侨
2341,4628,98.1396215762,舆
2342,4611,98.1420044725,窑
2343,4601,98.1443822009,涅
2344,4595,98.1467568286,蒲
2345,4588,98.1491278388,谦
2346,4583,98.1514962651,杭
2347,4582,98.1538641745,噢
2348,4579,98.1562305337,弊
2349,4568,98.1585912082,勋
2350,4565,98.1609503323,刮
2351,4565,98.1633094564,郊
2352,4552,98.1656618624,凄
2353,4533,98.1680044494,捧
2354,4529,98.1703449693,浸
2355,4512,98.1726767038,砖
2356,4507,98.1750058544,鼎
2357,4490,98.1773262197,篮
2358,4443,98.179622296,蒸
2359,4439,98.1819163052,饼
2360,4439,98.1842103144,亩
2361,4437,98.1865032901,肾
2362,4421,98.1887879972,陡
2363,4419,98.1910716707,爪
2364,4418,98.1933548274,兔
2365,4417,98.1956374673,殷
2366,4414,98.1979185569,贞
2367,4406,98.2001955122,荐
2368,4406,98.2024724675,哑
2369,4405,98.204748906,炭
2370,4402,98.2070237942,坟
2371,4393,98.2092940313,眨
2372,4392,98.2115637516,搏
2373,4390,98.2138324384,咳
2374,4390,98.2161011251,拢
2375,4385,98.2183672279,舅
2376,4375,98.2206281629,昧
2377,4372,98.2228875475,擅
2378,4368,98.225144865,爽
2379,4366,98.2274011488,咖
2380,4359,98.2296538153,搁
2381,4356,98.2319049313,禄
2382,4355,98.2341555306,雌
2383,4354,98.236405613,哨
2384,4344,98.2386505277,巩
2385,4335,98.2408907912,绢
2386,4327,98.2431269205,螺
2387,4322,98.2453604658,裹
2388,4320,98.2475929776,昔
2389,4304,98.2498172208,轩
2390,4290,98.2520342291,谬
2391,4274,98.2542429687,谍
2392,4265,98.2564470573,龟
2393,4262,98.2586495956,媳
2394,4261,98.260851617,姜
2395,4260,98.2630531217,瞎
2396,4243,98.265245841,冤
2397,4236,98.2674349429,鸦
2398,4225,98.2696183601,蓬
2399,4221,98.2717997101,巷
2400,4218,98.2739795098,琳
2401,4215,98.2761577592,栽
2402,4201,98.2783287735,沾
2403,4200,98.2804992711,诈
2404,4194,98.2826666679,斋
2405,4191,98.2848325144,瞒
2406,4186,98.286995777,彪
2407,4184,98.289158006,厄
2408,4180,98.2913181679,咨
2409,4175,98.2934757458,纺
2410,4169,98.295630223,罐
2411,4167,98.2977836667,桶
2412,4165,98.2999360768,壤
2413,4142,98.3020766008,糕
2414,4142,98.3042171248,颂
2415,4141,98.3063571321,膨
2416,4135,98.3084940386,谐
2417,4134,98.3106304284,垒
2418,4132,98.3127657845,咕
2419,4130,98.3149001071,隙
2420,4124,98.317031329,辣
2421,4112,98.3191563495,绑
2422,4108,98.3212793028,宠
2423,4102,98.3233991555,嘿
2424,4101,98.3255184913,兑
2425,4098,98.3276362768,霉
2426,4089,98.3297494112,挫
2427,4085,98.3318604785,稽
2428,4084,98.333971029,辐
2429,4073,98.3360758948,乞
2430,4069,98.3381786935,纱
2431,4062,98.3402778747,裙
2432,4056,98.3423739553,嘻
2433,4055,98.344469519,哇
2434,4046,98.3465604316,绣
2435,4037,98.3486466932,杖
2436,4033,98.3507308877,塘
2437,4031,98.3528140485,衍
2438,4011,98.3548868737,轴
2439,3998,98.3569529807,攀
2440,3989,98.3590144366,膊
2441,3985,98.3610738254,譬
2442,3981,98.363131147,斌
2443,3965,98.3651802,祈
2444,3959,98.3672261524,踢
2445,3956,98.3692705544,肆
2446,3948,98.3713108221,坎
2447,3942,98.3733479891,轿
2448,3929,98.3753784379,棚
2449,3929,98.3774088867,泣
2450,3925,98.3794372683,屡
2451,3917,98.3814615157,躁
2452,3912,98.3834831791,邱
2453,3911,98.3855043258,凰
2454,3909,98.3875244389,溢
2455,3888,98.3895336995,椎
2456,3881,98.3915393426,砸
2457,3879,98.3935439521,趟
2458,3875,98.3955464945,帘
2459,3874,98.3975485202,帆
2460,3867,98.3995469283,栖
2461,3865,98.4015443028,窜
2462,3847,98.4035323752,丸
2463,3844,98.4055188973,斩
2464,3840,98.4075033522,堤
2465,3839,98.4094872903,塌
2466,3837,98.4114701949,贩
2467,3837,98.4134530995,厢
2468,3831,98.4154329033,掀
2469,3830,98.4174121904,喀
2470,3828,98.4193904439,乖
2471,3828,98.4213686974,谜
2472,3824,98.4233448837,捏
2473,3823,98.4253205533,阎
2474,3811,98.4272900214,滨
2475,3811,98.4292594896,虏
2476,3809,98.4312279242,匙
2477,3806,98.4331948084,芦
2478,3805,98.4351611758,苹
2479,3795,98.4371223754,卸
2480,3791,98.4390815079,沼
2481,3772,98.4410308214,钥
2482,3771,98.4429796181,株
2483,3769,98.4449273813,祷
2484,3767,98.4468741109,剖
2485,3766,98.4488203237,熙
2486,3759,98.450762919,哗
2487,3759,98.4527055144,劈
2488,3759,98.4546481097,怯
2489,3758,98.4565901882,棠
2490,3753,98.4585296828,胳
2491,3746,98.4604655599,桩
2492,3744,98.4624004035,瑰
2493,3740,98.4643331799,娱
2494,3733,98.4662623388,娶
2495,3731,98.4681904641,沫
2496,3724,98.470114972,嗓
2497,3720,98.4720374127,蹲
2498,3718,98.4739588198,焚
2499,3718,98.4758802269,淘
2500,3707,98.4777959494,嫩
2501,3705,98.4797106384,韵
2502,3700,98.4816227434,衬
2503,3700,98.4835348484,匈
2504,3698,98.4854459198,钧
2505,3698,98.4873569912,竖
2506,3688,98.4892628948,峻
2507,3683,98.4911662144,豹
2508,3681,98.4930685005,捞
2509,3676,98.4949682027,菊
2510,3670,98.4968648041,鄙
2511,3664,98.4987583049,魄
2512,3663,98.5006512888,兜
2513,3660,98.5025427224,哄
2514,3658,98.5044331224,颖
2515,3657,98.5063230057,镑
2516,3655,98.5082118553,屑
2517,3653,98.5100996714,蚁
2518,3652,98.5119869707,壶
2519,3649,98.5138727197,怡
2520,3647,98.5157574351,渗
2521,3640,98.517638533,秃
2522,3637,98.5195180805,迦
2523,3636,98.5213971112,旱
2524,3635,98.5232756252,哟
2525,3627,98.5251500049,咸
2526,3626,98.5270238678,焉
2527,3619,98.5288941132,谴
2528,3619,98.5307643586,宛
2529,3607,98.5326284026,稻
2530,3604,98.5344908962,铸
2531,3596,98.5363492555,锻
2532,3596,98.5382076149,伽
2533,3595,98.5400654575,詹
2534,3588,98.5419196825,毙
2535,3584,98.5437718404,恍
2536,3580,98.5456219312,贬
2537,3578,98.5474709884,烛
2538,3577,98.5493195289,骇
2539,3568,98.5511634182,芯
2540,3564,98.5530052404,汁
2541,3551,98.5548403445,桓
2542,3546,98.5566728645,坊
2543,3532,98.5584981496,驴
2544,3526,98.560320334,朽
2545,3521,98.5621399345,靖
2546,3517,98.5639574678,佣
2547,3503,98.5657677661,汝
2548,3497,98.5675749637,碌
2549,3496,98.5693816446,迄
2550,3487,98.5711836743,冀
2551,3479,98.5729815698,荆
2552,3476,98.5747779149,崔
2553,3474,98.5765732265,雁
2554,3472,98.5783675045,绅
2555,3465,98.580158165,珊
2556,3458,98.581945208,榜
2557,3447,98.5837265663,诵
2558,3444,98.5855063743,傍
2559,3437,98.5872825649,彦
2560,3433,98.5890566882,醇
2561,3409,98.5908184087,笛
2562,3408,98.5925796125,禽
2563,3400,98.5943366819,勿
2564,3385,98.5960859996,娟
2565,3383,98.5978342837,瞄
2566,3376,98.5995789503,幢
2567,3354,98.6013122477,寇
2568,3346,98.6030414107,睹
2569,3346,98.6047705738,贿
2570,3343,98.6064981865,踩
2571,3342,98.6082252824,霆
2572,3341,98.6099518616,呜
2573,3339,98.6116774071,拱
2574,3338,98.6134024359,妃
2575,3330,98.6151233304,蔑
2576,3330,98.6168442249,谕
2577,3326,98.6185630523,缚
2578,3323,98.6202803293,诡
2579,3315,98.621993472,篷
2580,3315,98.6237066147,淹
2581,3314,98.6254192406,腕
2582,3313,98.6271313498,煮
2583,3311,98.6288424254,倩
2584,3306,98.630550917,卒
2585,3303,98.6322578583,勘
