id,frequency,frequency_percent,characters
586,68924,79.1428873585,举
587,68776,79.178429773,杀
588,68747,79.2139572006,攻
589,68576,79.249396258,父
590,68487,79.2847893215,苏
591,68475,79.3201761836,密
592,68424,79.3555366897,低
593,68380,79.3908744572,朝
594,68196,79.4261171362,友
595,68147,79.4613344928,诉
596,68082,79.4965182583,止
597,67915,79.5316157208,细
598,67915,79.5667131832,愿
599,67843,79.6017734371,千
600,67732,79.6367763278,值
601,67490,79.6716541566,仍
602,67405,79.7064880586,男
603,67304,79.7412697653,钱
604,67268,79.7760328677,破
605,67118,79.8107184524,网
606,67051,79.8453694124,热
607,66867,79.879925284,助
608,66634,79.9143607447,倒
609,66551,79.9487533122,育
610,66374,79.9830544087,属
611,66293,80.0173136457,坐
612,66035,80.051439552,帝
613,66018,80.085556673,限
614,65883,80.1196040281,船
615,65727,80.1535707646,脸
616,65272,80.1873023639,职
617,65094,80.2209419755,速
618,65015,80.254540761,刻
619,64965,80.2881137073,乐
620,64772,80.321586914,否
621,64622,80.354982603,刚
622,64559,80.3883457345,威
623,64522,80.421689745,毛
624,64495,80.4550198022,状
625,64453,80.4883281545,率
626,64438,80.521628755,甚
627,64201,80.5548068774,独
628,63913,80.5878361658,球
629,63739,80.6207755335,般
630,63570,80.6536275645,普
631,63520,80.6864537562,怕
632,63417,80.7192267191,弹
633,63200,80.7518875396,校
634,63194,80.7845452594,苦
635,63156,80.8171833414,创
636,62691,80.8495811183,假
637,62588,80.8819256663,久
638,62401,80.9141735755,错
639,62285,80.9463615376,承
640,62179,80.9784947205,印
641,62142,81.0106087823,晚
642,61951,81.0426241382,兰
643,61912,81.0746193394,试
644,61861,81.1065881846,股
645,61798,81.1385244724,拿
646,61647,81.1703827256,脑
647,61534,81.2021825821,预
648,61528,81.2339793378,谁
649,60896,81.2654494854,益
650,60867,81.2969046462,阳
651,60736,81.3282921081,若
652,60708,81.3596651001,哪
653,60484,81.3909223322,微
654,60474,81.4221743964,尼
655,60428,81.4534026885,继
656,60182,81.4845038515,送
657,60141,81.5155838263,急
658,59944,81.5465619944,血
659,59724,81.5774264698,惊
660,59632,81.6082434009,伤
661,59100,81.6387854024,素
662,59090,81.669322236,药
663,58927,81.6997748336,适
664,58859,81.7301922899,波
665,58839,81.7605994104,夜
666,58642,81.7909047243,省
667,58587,81.8211816149,初
668,58449,81.8513871893,喜
669,58408,81.8815715754,卫
670,58145,81.9116200471,源
671,58110,81.9416504313,食
672,58047,81.971648258,险
673,57757,82.001496217,待
674,57744,82.0313374578,述
675,57430,82.0610164281,陆
676,57329,82.0906432031,习
677,57255,82.120231736,置
678,56307,82.1493303565,居
679,56119,82.1783318215,劳
680,56037,82.2072909101,财
681,55971,82.2362158909,环
682,55938,82.2651238177,排
683,55871,82.29399712,福
684,55597,82.3227288231,纳
685,55294,82.3513039404,欢
686,55226,82.3798439162,雷
687,55189,82.408364771,警
688,55064,82.4368210277,获
689,54891,82.4651878805,模
690,54812,82.4935139073,充
691,54616,82.5217386442,负
692,54510,82.5499086019,云
693,54453,82.5780491028,停
694,54433,82.6061792681,木
695,54262,82.634221063,游
696,54169,82.662214797,龙
697,54037,82.6901403153,树
698,53982,82.7180374105,疑
699,53705,82.7457913561,层
700,53460,82.7734186894,冷
701,53429,82.8010300024,洲
702,53378,82.8286149593,冲
703,53184,82.8560996599,射
704,53068,82.8835244134,略
705,53033,82.9109310795,范
